diff,yes,no
1047912.794658,0,0
1047744.827123,14,7
1047488.461255,19,8
1047138.130622,20,8
651514.735722,28,20
646870.123309,28,20
643478.619246,28,20
639540.502994,28,21
636327.229499,28,21
632442.66455,28,21
629060.855426,28,21
625453.927345,28,21
621977.347684,28,21
617392.322426,28,21
614232.147797,28,21
611171.490253,28,21
607447.409439,28,21
603687.751611,28,21
600418.157041,28,21
596382.715686,28,21
593265.21576,28,21
589405.67224,28,21
585981.034809,28,21
582340.701967,28,21
578707.55602,28,21
570911.89031,28,21
564446.663741,28,21
560421.411323,28,21
557056.466283,28,21
553067.501404,28,21
549880.335509,28,21
546001.145317,28,22
542642.906061,28,22
539055.519174,28,22
535648.974957,28,22
530970.042143,28,22
527842.252202,28,22
524721.319185,28,22
521080.170183,28,22
517284.380331,28,22
514017.523461,28,22
509970.795634,28,22
506858.376194,28,22
502994.431608,28,22
499545.080774,28,22
495899.868746,28,22
492313.603622,28,22
484632.884041,28,22
478072.417198,28,22
473916.211121,28,22
470551.436147,28,22
466462.275714,28,22
463368.793113,28,22
459386.359396,28,22
456058.39933,31,26
452442.598707,31,26
449125.773588,31,26
444277.287302,31,26
441018.570221,31,26
438134.615046,31,26
434393.760314,31,26
430683.239704,31,26
427533.039564,31,26
423388.99377,31,26
420372.781062,31,26
416456.39377,31,26
413068.512782,31,26
409416.471767,31,26
405862.263615,31,26
398327.757958,31,26
391810.014011,31,26
387557.471678,31,26
384187.153476,31,26
380116.033677,31,26
376959.284776,31,26
372987.73271,31,26
369701.503664,31,26
366077.690427,31,26
362717.586992,31,26
357855.336376,31,26
354576.566004,31,26
351738.471167,31,26
348111.943555,31,26
344300.247255,31,26
341054.640361,31,26
336936.906609,31,26
333983.981444,31,26
330062.120225,31,26
326653.626428,31,26
323021.888683,31,26
319442.426089,31,26
312004.585099,31,26
305511.313381,31,27
301170.225453,31,27
297777.445313,33,29
293730.219508,34,33
290254.06442,35,34
286638.197067,35,35
283302.279043,35,35
268287.957098,35,35
265358.02716,35,35
261712.480623,35,35
257937.241649,35,35
254692.502621,35,35
250701.355752,35,35
247579.761793,35,35
243839.865316,35,35
240390.839402,35,35
236789.987495,35,35
233101.958006,35,35
225713.339539,35,35
219125.952022,35,35
214770.643568,35,35
211347.607279,35,35
207280.108219,35,35
204199.938414,35,35
200211.24164,35,36
196899.843724,35,36
193286.819457,35,36
189918.73623,35,36
185118.378361,35,36
181964.556123,35,36
178950.817063,35,36
175404.541042,36,36
171487.212547,36,36
168296.701366,36,36
164185.437216,36,36
161200.25615,36,36
157269.589067,36,36
153854.840199,36,36
150253.694764,36,36
146636.316739,36,36
139133.01184,36,36
132572.61847,36,36
128322.503655,36,36
124956.538674,36,36
120888.58786,36,36
117806.643618,36,36
113841.11343,36,36
110530.318786,37,37
106913.607035,37,37
103544.020271,37,37
98721.825174,37,37
95510.078934,37,37
92610.57107,37,37
89069.027626,38,38
85160.434998,38,38
81973.747365,38,38
77798.858154,38,38
74782.693545,38,38
70898.447348,38,38
67466.028554,38,38
63858.341429,38,38
60259.826966,38,38
52853.068525,38,38
46481.984681,38,38
42012.979329,38,38
38668.974681,38,38
34679.589464,38,38
31498.000502,38,38
27602.326219,38,38
24242.989957,38,38
20613.633065,39,40
17242.983066,41,42
12557.565465,42,42
9430.913731,42,42
6366.425277,43,42
2674.582201,43,44
